isotype	lat	long	geo	collection_island_Hawaii
ECA742	20.80569	-156.2781	Hawaii	Maui
ECA743	20.741871	-156.32317	Hawaii	Maui
ECA744	19.719231	-155.949572	Hawaii	Big Island
ECA745	19.700464	-155.955839	Hawaii	Big Island
ECA746	19.115292	-155.819336	Hawaii	Big Island
ECA760	20.039869	-155.441619	Hawaii	Big Island
ECA768	20.039914	-155.441556	Hawaii	Big Island
ECA777	20.039908	-155.441503	Hawaii	Big Island
ECA778	20.039908	-155.441503	Hawaii	Big Island
ECA807	20.039869	-155.441531	Hawaii	Big Island
ECA812	20.039917	-155.441542	Hawaii	Big Island
ECA923	21.290067	-157.707918	Hawaii	Oahu
ECA928	21.290067	-157.707918	Hawaii	Oahu
QX1791	20.6344	-156.3935	Hawaii	Maui
QX1792	20.70554	-156.35475	Hawaii	Maui
QX1793	20.70559	-156.35678	Hawaii	Maui
QX1794	20.70559	-156.35678	Hawaii	Maui
XZ1513	22.14787	-159.63105	Hawaii	Kauai
XZ1514	22.149	-159.668	Hawaii	Kauai
XZ1515	22.149	-159.668	Hawaii	Kauai
XZ1516	22.149	-159.668	Hawaii	Kauai
XZ2211	22.1062554	-159.6718225	Hawaii	Kauai
